2009-11-03 21:39:59 Notice: Notice (8): Undefined index:  pausa in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 10]
2009-11-04 13:40:59 Notice: Notice (8): Undefined index:  almoco_inicio in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 7]
2009-11-04 13:40:59 Notice: Notice (8): Undefined index:  almoco_fim in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 8]
2009-11-04 13:40:59 Notice: Notice (8): Undefined index:  saida in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 9]
2009-11-04 13:49:52 Notice: Notice (8): Undefined index:  almoco_inicio in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 77]
2009-11-04 13:49:52 Notice: Notice (8): Undefined index:  almoco_fim in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 78]
2009-11-04 13:49:52 Notice: Notice (8): Undefined index:  saida in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 79]
2009-11-04 13:49:52 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 114]
2009-11-04 13:51:46 Notice: Notice (8): Undefined index:  almoco_inicio in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 77]
2009-11-04 13:51:46 Notice: Notice (8): Undefined index:  almoco_fim in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 78]
2009-11-04 13:51:46 Notice: Notice (8): Undefined index:  saida in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 79]
2009-11-04 14:14:08 Notice: Notice (8): Undefined index:  entrada in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 76]
2009-11-04 14:14:08 Notice: Notice (8): Undefined index:  entrada in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 7]
2009-11-04 14:14:23 Notice: Notice (8): Undefined index:  entrada in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 76]
2009-11-04 14:14:23 Notice: Notice (8): Undefined index:  entrada in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 7]
2009-11-04 14:16:25 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 146]
2009-11-04 14:28:12 Notice: Notice (8): Undefined variable: diasemana in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 63]
2009-11-04 14:28:35 Notice: Notice (8): Undefined variable: diasemana in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 63]
2009-11-04 14:32:04 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 157]
2009-11-04 14:32:38 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 157]
2009-11-04 14:32:55 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 157]
2009-11-04 14:33:13 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 157]
2009-11-04 14:36:56 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 167]
2009-11-04 14:36:57 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 167]
2009-11-04 14:36:58 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 167]
2009-11-04 14:36:59 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 167]
2009-11-04 14:37:12 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 168]
2009-11-04 14:37:13 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 168]
2009-11-04 14:40:21 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 170]
2009-11-04 16:42:47 Notice: Notice (8): Undefined variable: naoPermitir in [/Applications/MAMP/htdocs/ponto/app/app_controller.php, line 33]
2009-11-04 16:42:47 Notice: Notice (8): Undefined variable: naoPermitir in [/Applications/MAMP/htdocs/ponto/app/app_controller.php, line 34]
2009-11-04 17:10:36 Notice: Notice (8): Undefined index:  Funcionarios in [/Applications/MAMP/htdocs/ponto/app/app_controller.php, line 37]
2009-11-04 19:08:08 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 167]
2009-11-04 19:11:36 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 167]
2009-11-04 19:12:14 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 167]
2009-11-04 22:16:58 Notice: Notice (8): Undefined index:  2009-11-04 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:16:59 Notice: Notice (8): Undefined index:  2009-11-05 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:16:59 Notice: Notice (8): Undefined index:  2009-11-06 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:00 Notice: Notice (8): Undefined index:  2009-11-07 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:00 Notice: Notice (8): Undefined index:  2009-11-08 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:01 Notice: Notice (8): Undefined index:  2009-11-09 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:01 Notice: Notice (8): Undefined index:  2009-11-10 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:02 Notice: Notice (8): Undefined index:  2009-11-11 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:02 Notice: Notice (8): Undefined index:  2009-11-12 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:03 Notice: Notice (8): Undefined index:  2009-11-13 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:39 Notice: Notice (8): Undefined index:  2009-04-20 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:39 Notice: Notice (8): Undefined index:  2009-04-21 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
2009-11-04 22:17:40 Notice: Notice (8): Undefined index:  2009-04-22 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 108]
